"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","signif"
"RNASE2",-0.815942106430151,-2.49152627599244,-2.45270445654201,0.0145021654313135,0.0278836391590101,-4.83250997455258,FALSE
"DNAH12",0.749859916235529,-3.6215584120983,2.45270938288527,0.0145019691441997,0.0278836391590101,-4.83249802450492,FALSE
"KRT8P52",-0.722063919684635,-6.15791701323251,-2.4527335445673,0.0145010064708756,0.0278836391590101,-4.83243941411019,FALSE
"EXTL1",0.656079502340495,-6.1167168241966,2.4519776623305,0.0145311498529664,0.0279378883964055,-4.83427273421503,FALSE
"PAG1",-0.351903742301061,0.365152173913043,-2.45170786870145,0.0145419222035628,0.0279571188386577,-4.83492695912692,FALSE
"CSTA",0.503920014781964,3.42010642722117,2.45149237828818,0.0145505314009822,0.0279721887616932,-4.83544945315695,FALSE
"DUX4L18",0.36473573786656,-9.66727939508507,2.45079490301552,0.0145784275961963,0.0280243327774583,-4.8371402956369,FALSE
"RPL21P34",0.675475567873944,-8.74061493383743,2.45048326730235,0.0145909070433598,0.0280468369913162,-4.83789562117935,FALSE
"DENND4C",-0.291911956146837,1.80285274102079,-2.45026348081617,0.0145997140683433,0.0280622800166754,-4.83842827115149,FALSE
"IGLV1-44",-1.12822100763735,0.376684877126654,-2.44910298799851,0.0146462939354823,0.0281503211813387,-4.84123993766238,TRUE
"LMNB1-DT",0.248020867208774,-9.79279489603025,2.44902229025566,0.014649537862045,0.0281536622268845,-4.84143540544506,FALSE
"LOC105375903",0.837837528948022,-5.87644026465028,2.44902115836241,0.0146495833669491,0.0281536622268845,-4.84143814709613,FALSE
"IGIP",-0.198520788371522,1.62436370510397,-2.44899331450239,0.0146507027982364,0.0281543230428151,-4.84150558959259,FALSE
"FAM178B",1.0306113402316,-5.51224688090737,2.44842129356492,0.0146737170015088,0.0281970568456817,-4.84289095433359,TRUE
"RN7SKP158",-0.236360271002585,-9.86277542533081,-2.44829584184464,0.0146787685900928,0.028205270939496,-4.8431947407609,FALSE
"RASA3",-0.346402990884454,0.656411531190926,-2.44770291810591,0.0147026647731739,0.028249692157465,-4.84463032374773,FALSE
"FBXL14",0.301247873860556,0.819665217391304,2.44610471454089,0.0147672473788123,0.0283722794060689,-4.84849819078583,FALSE
"VILL",-0.290969352057156,-0.687056143667297,-2.44585287245935,0.0147774470261709,0.0283903733525817,-4.84910745718817,FALSE
"PSME2P6",-0.555717728504465,-9.32775349716446,-2.44540593290754,0.0147955634848083,0.0284236743258905,-4.85018856019468,FALSE
"RPS27AP2",0.620377312145916,-8.97188752362949,2.44494661805527,0.0148142020182556,0.0284579746766522,-4.85129939662007,FALSE
"BBIP1P1",-0.839505309189392,-8.49004896030246,-2.44486362215133,0.0148175721208953,0.02846294240452,-4.85150009746597,FALSE
"SEC24A",-0.256372525252528,2.75086086956522,-2.44468104172315,0.0148249883026604,0.028475681272812,-4.8519415903494,FALSE
"RPL32P29",0.279400214338506,2.49608374291115,2.44465391872563,0.0148260902836661,0.0284762911845165,-4.85200717299966,FALSE
"LOC102606466",-0.148008388765586,-9.90130982986767,-2.44400212080292,0.0148525939800241,0.0285256872159597,-4.8535829882447,FALSE
"MERTK",-0.354377223454056,2.03547712665406,-2.44368653506108,0.0148654415040589,0.0285488515521554,-4.85434581458951,FALSE
"CTAGE12P",-0.479954863266727,-8.92882192816635,-2.44287562399997,0.0148984988125202,0.0286108239640954,-4.8563054878985,FALSE
"CEP78",0.22125209657551,1.33440964083176,2.44280751880884,0.0149012781186982,0.0286146475342183,-4.85647004411544,FALSE
"TTC8",-0.232677977334322,2.30473327032136,-2.44271750276451,0.0149049522882484,0.0286201889984503,-4.85668753460084,FALSE
"TRIM43",0.379769990145432,-9.58894102079395,2.44258921327671,0.0149101900417501,0.0286287320800577,-4.85699748517052,FALSE
"ZNF587B",-0.216024816457257,1.02570207939509,-2.44226334386797,0.0149235018244442,0.0286527762061221,-4.85778472215847,FALSE
"SEMA6A-AS2",0.735673604336109,-8.53548128544423,2.44214979196342,0.014928142892226,0.0286601710985136,-4.85805901730888,FALSE
"TAS2R1",0.45118922641055,-9.43545330812854,2.44200041209789,0.0149342502545662,0.0286703801624099,-4.85841983923145,FALSE
"FFAR1",-0.410553840847417,-9.31310264650284,-2.4418440251981,0.0149406464631967,0.0286809807017084,-4.85879756328645,FALSE
"LOC401957",0.546502599162416,-8.44611833648393,2.44182677371032,0.014941352195532,0.0286809807017084,-4.85883922966283,FALSE
"IGF1R",-0.42017148066026,-1.68076937618147,-2.44143872763612,0.0149572343589573,0.0287099494746462,-4.85977637562355,FALSE
"ABHD11",0.222890859817682,3.51177353497164,2.44118889661764,0.0149674674712894,0.0287268223699699,-4.86037964994696,FALSE
"MPPE1",0.184657861542242,4.21379621928166,2.44116616647362,0.0149683988079662,0.0287268223699699,-4.86043453410037,FALSE
"HCCAT5",0.433726267553665,-9.34093421550095,2.441171486691,0.0149681808147196,0.0287268223699699,-4.86042168796052,FALSE
"ZSCAN9",0.209483086967228,1.79312797731569,2.44098196898211,0.014975947937892,0.0287397909755454,-4.86087927851202,FALSE
"PLEKHA3",0.327407851687605,1.28052098298677,2.44095326831056,0.0149771245059177,0.0287405295072855,-4.86094857326215,FALSE
"CHAC1",-0.537137100271007,1.29293497164461,-2.44045149664066,0.0149977075538341,0.0287785062856398,-4.86215991944886,FALSE
"AGPAT5",0.283910675043113,2.10157013232514,2.44015858640213,0.0150097344982727,0.0287982397452377,-4.86286693272459,FALSE
"LOC100506532",0.465862584380503,-9.5014663516068,2.44014307939902,0.0150103714558729,0.0287982397452377,-4.86290436050399,FALSE
"LOC105376311",0.465862584380503,-9.5014663516068,2.44014307939902,0.0150103714558729,0.0287982397452377,-4.86290436050399,FALSE
"CASQ2",0.486861364868195,-2.34383553875236,2.43992438031956,0.0150193571690219,0.0288139564841276,-4.86343218891881,FALSE
"SOCS7",-0.279899371766445,0.0946920604914934,-2.43985204555036,0.0150223302412179,0.0288181371921181,-4.86360675810649,FALSE
"UQCRHP1",-0.497378837151928,-9.50548260869565,-2.43938415729655,0.0150415737408555,0.0288535282375183,-4.8647358144842,FALSE
"SLC4A8",-0.485153052475979,-3.90835708884688,-2.43932704708436,0.0150439240835383,0.0288565119237264,-4.8648736120591,FALSE
"UBR1",-0.204934025622075,0.891839697542533,-2.43919855560646,0.015049213273148,0.0288651321477621,-4.86518362938986,FALSE
"EPIST",0.654920623306317,-9.02642457466919,2.43860511109967,0.0150736629861801,0.0289105003466647,-4.86661525325301,FALSE
"H3P9",0.632734996304563,-9.11206332703214,2.4383155683177,0.0150856047812296,0.0289318754841197,-4.86731362183582,FALSE
"LINC01411",0.527413520571669,-9.17876710775047,2.43818897282238,0.0150908286638198,0.0289403651183539,-4.8676189409358,FALSE
"CPAMD8P1",-0.515046501601296,-8.84690189035917,-2.43772930518809,0.0151098099920208,0.0289752357380003,-4.86872742282031,FALSE
"MIR4422HG",0.39475624538073,-9.54430415879017,2.43676998298948,0.0151494917910709,0.0290497967095063,-4.8710401563058,FALSE
"CABCOCO1",0.740972865237756,-5.61474706994329,2.4366403627135,0.0151548605094599,0.0290585564839375,-4.87135257655521,FALSE
"OXCT2",0.655228361665436,-2.16790378071834,2.43619452877401,0.0151733392543177,0.0290924517124063,-4.87242703400321,FALSE
"DMXL1",-0.173412347868937,2.15421039697543,-2.43519143287123,0.0152149879325148,0.029170765656397,-4.87484378707566,FALSE
"RN7SL200P",0.444584838630325,-9.57488809073724,2.43480325038815,0.0152311323937265,0.0292001762357891,-4.87577877170823,FALSE
"FOXE1",-0.686896698694203,-8.11119470699433,-2.43464474842129,0.0152377288188187,0.0292112797767183,-4.87616050103642,FALSE
"DDX46",-0.195652313377683,3.13636238185255,-2.43325331842169,0.0152957447456775,0.0293209499927569,-4.87951051842707,FALSE
"RPL6P5",0.359215782212486,-9.61759111531191,2.43315033066396,0.0153000465803792,0.0293276476351434,-4.87975839810772,FALSE
"GPR21",0.753551759053988,-7.16955557655955,2.43277719980021,0.0153156413343085,0.0293559900774451,-4.8806563952466,FALSE
"LINC02805",0.885308061098816,-6.57500094517958,2.43249817045758,0.0153273123475031,0.0293752581979151,-4.88132783452233,FALSE
"LOC105371227",0.885308061098816,-6.57500094517958,2.43249817045758,0.0153273123475031,0.0293752581979151,-4.88132783452233,FALSE
"HEXIM2-AS2",-0.514888401084011,-2.64109073724008,-2.43243197809203,0.0153300821400888,0.0293790155087828,-4.88148710476318,FALSE
"PATJ",0.226823968957867,2.0591156899811,2.43220858566428,0.0153394331677219,0.0293953842274969,-4.88202459416651,FALSE
